entity_name,location,inspection_date,good_practices,non_compliances,action_taken,score_obtained,score_total,score_percent,finding_severity,notice_issued,source_handle,post_url,post_date,media_urls,raw_text
Girl Friend Mandi,Gachibowli,,,,"Improvement notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Eat Club Brands (Box 8 & Mojo Pizza),Yousufguda,,,,"Improvement notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Seasons Xpress,Hitech City,,,,"Improvement notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Yummy Bee,Sainikpuri,,,,"Improvement notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
JMJ Boys & Girls Hostel,Gandimaisamma,,,,"Improvement notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Asaa Neo Indian Kitchen,Puppalguda,,,,"Show-cause notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Aroma Multicuisine Restaurant,Gachibowli,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Aditya Restaurant & Bar,Safilguda,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Vaishnavi Darshini,Begum Bazar,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Spicy Hub (Green Treat),Kothapet,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
