city,state,state_name,district,name,address,rating,first_seen,last_seen,dropped
Ahmedabad,GJ,Gujarat,AHMEDABAD ZONE-1,"AMDOS KITCHEN , ahmedabad","KH/462 MAHOLAR VAD OPP. KRUSHIBHAVAN, PALDI AHMEDABD 380007",Good,2026-09-08,2026-09-14,
Ahmedabad,GJ,Gujarat,AHMEDABAD ZONE-1,AMRUT FAL HOTEL AND RESTAURANT,"SARVE NO.493/1, SANAND - SARKHEJ HIGHWAY, TELAV, TA.SANAND, DIST-AHMEDABAD",Good,2026-09-08,2026-09-14,
Ahmedabad,GJ,Gujarat,AHMEDABAD ZONE-1,"ARJUN FRESH CHICKEN CENTRE,AHMEDABA","ARJUN FRESH CHICKEN CENTRE, RANCHHODPURA, IN FRONT OF SWARN MANDIR, VARDHASHRAM, AMBLI, AHMEDABA",Good,2026-09-08,2026-09-14,
Ahmedabad,GJ,Gujarat,AHMEDABAD ZONE-1,AYAAN FOODS,P-201 INDRAPRASTH -6 PRAHLAD NAGAR AHMEDABAD-380015,Very Good,2026-09-08,2026-09-14,
Ahmedabad,GJ,Gujarat,AHMEDABAD ZONE-1,AYAAN FOODS /DHRUV CHATTERJEE,P-201 INDRAPRASTH -6 PRAHLAD NAGAR AHMEDABAD-380015,Good,2026-09-08,2026-09-14,
Ahmedabad,GJ,Gujarat,AHMEDABAD ZONE-1,"BLUE CRUNCH , AHMEDABAD","14/G, SUYOG SHOPPING COMPLEX, OPPOSITE TRISHLA COMPLEX, NEW C.G. ROAD CHANDKHEDA",Good,2026-09-08,2026-09-14,
Ahmedabad,GJ,Gujarat,AHMEDABAD ZONE-1,BON PIZZA,"11, Ground floor, Supath complex, Vijay char Rasta, Navrangpura-380009",Very Good,2026-09-08,2026-09-14,
Ahmedabad,GJ,Gujarat,AHMEDABAD ZONE-1,"BRIJESH NITINBHAI PARIKH , ahmedabad","16, SUKH SHANTI COMPLEX, ANAND NAGAR CROSS ROAD, PRALADNAGAR SATELLITE",Good,2026-09-08,2026-09-14,
Ahmedabad,GJ,Gujarat,AHMEDABAD ZONE-1,Bon Pizza / Turis Pancakes / Turis foods and equipments / shweta kumari,"11, Ground floor, Supath complex, Vijay char Rasta, Navrangpura-380009",Very Good,2026-09-08,2026-09-14,
Ahmedabad,GJ,Gujarat,AHMEDABAD ZONE-1,CHAIZZA.COM,"95, Swastik Society, Near Aman Avenue, Near Swastik Cross Road, Navrangpura, Ahmedabad - 380009.",Very Good,2026-09-08,2026-09-14,
Ahmedabad,GJ,Gujarat,AHMEDABAD ZONE-1,CHEESY PEPRIKA,31 mahrvnagar sos. Nr.mahdev teple b/h sidhi sosa. Vejlpur,Very Good,2026-09-08,2026-09-14,
