entity_name,location,inspection_date,good_practices,non_compliances,action_taken,score_obtained,score_total,score_percent,finding_severity,notice_issued,source_handle,post_url,post_date,media_urls,raw_text
Papadams Blue Restaurant and Banquet Hall,Dilsukhnagar,31-08-2024,,"Medical fitness certificates for food handlers not available | Water analysis reports for RO water used for food preparation not available | Flooring found to be wet and slippery | Dust bins found open without any lids on it | ⁠Food articles stored inside refrigerator were not labelled properly | Expired flavouring agents and fruit fillings were found, along with synthetic food colours. Hence discarded | Live cockroach infestation observed inside kitchen premises | Food handlers found without aprons and gloves | FBO did not obtain appropriate FSSAI license for general manufacturing category, as the premises is being used as central kitchen for 5 different branches",,,,,Non-compliance,No,@c_tgsafe,https://x.com/c_tgsafe/status/1830234823715336338,2024-09-01,https://pbs.twimg.com/media/GWZMy9-bsAAxM5x?format=jpg&name=900x900 | https://pbs.twimg.com/media/GWZMzGTaQAAfEZe?format=jpg&name=900x900 | https://pbs.twimg.com/ext_tw_video_thumb/1830234748524105728/pu/img/eFAtZ3Sc6gu3RDk8.jpg | https://pbs.twimg.com/media/GWZMz0hWYAEhWzU?format=jpg&name=900x900,"𝗣𝗮𝗽𝗮𝗱𝗮𝗺𝘀 𝗕𝗹𝘂𝗲 𝗥𝗲𝘀𝘁𝗮𝘂𝗿𝗮𝗻𝘁 𝗮𝗻𝗱 𝗕𝗮𝗻𝗾𝘂𝗲𝘁 𝗛𝗮𝗹𝗹, 𝗗𝗶𝗹𝘀𝘂𝗸𝗵𝗻𝗮𝗴𝗮𝗿
31.08.2024

* Medical fitness certificates for food handlers not available.

* Water analysis reports for RO water used for food preparation not available.

* Flooring found to be wet and slippery.

* Dust bins found open without any lids on it.

* ⁠Food articles stored inside refrigerator were not labelled properly.

* Expired flavouring agents and fruit fillings were found, along with synthetic food colours. Hence discarded.

* Live cockroach infestation observed inside kitchen premises.

* Food handlers found without aprons and gloves.

* FBO did not obtain appropriate FSSAI license for general manufacturing category, as the premises is being used as central kitchen for 5 different branches.


@fssaiindia
 

@MoHFW_Telangana"
Mithaiwala,Dilsukhnagar,31-08-2024,,"FSSAI license true copy was not displayed at the premises | Kitchen premises was found open to outside premises without any insect proof screens and doors not close fitted to avoid entry of pests | Drains found to be stagnated with water and unclean due to uneven surface | ⁠Dustbins were found open without any lids. House flies found hovering inside kitchen premises. Chaat preparation area found outside | Medical fitness certificates for food handlers and Pest control records premises were not available with FBO | Food articles stored inside refrigerator were covered but not labelled with preparation and used by dates | Sweets and saviours kept in display and meant for sale kept without preparation and used by dates | Refined sunflower oil (4pkts), Green chilli sauce (0.66kg) found expired and hence discarded",,,,,Non-compliance,No,@c_tgsafe,https://x.com/c_tgsafe/status/1830234620627198098,2024-09-01,https://pbs.twimg.com/media/GWZMr8raUAAgiQI?format=jpg&name=small | https://pbs.twimg.com/media/GWZMsAnWYAAajfk?format=jpg&name=900x900 | https://pbs.twimg.com/media/GWZMsADWMAE9zdf?format=jpg&name=small | https://pbs.twimg.com/media/GWZMr8aXMAI3p3S?format=jpg&name=small,"Task force team has conducted inspections in Dilsukhnagar area on 31.08.2024.

𝗠𝗶𝘁𝗵𝗮𝗶𝘄𝗮𝗹𝗮, 𝗗𝗶𝗹𝘀𝘂𝗸𝗵𝗻𝗮𝗴𝗮𝗿

* FSSAI license true copy was not displayed at the premises.

* Kitchen premises was found open to outside premises without any insect proof screens and doors not close fitted to avoid entry of pests.

* Drains found to be stagnated with water and unclean due to uneven surface.

* ⁠Dustbins were found open without any lids. House flies found hovering inside kitchen premises. Chaat preparation area found outside.

* Medical fitness certificates for food handlers and Pest control records premises were not available with FBO.

* Food articles stored inside refrigerator were covered but not labelled with preparation and used by dates.

* Sweets and saviours kept in display and meant for sale kept without preparation and used by dates.

* Refined sunflower oil (4pkts), Green chilli sauce (0.66kg) found expired and hence discarded. 


@fssaiindia
 

@MoHFW_Telangana"
D Mart,Dilsukhnagar,31-08-2024,FSSAI license true copy was displayed at the premises,Spices bags in store room were found stored directly on floor and no gap maintained between the bags and wall,,,,,Non-compliance,No,@c_tgsafe,https://x.com/c_tgsafe/status/1830234840752615438,2024-09-01,https://pbs.twimg.com/media/GWZM4w6aQAAdnP7?format=jpg&name=900x900 | https://pbs.twimg.com/media/GWZM4y3boAA1SZR?format=jpg&name=small | https://pbs.twimg.com/media/GWZM4zCa0AAmKom?format=jpg&name=small | https://pbs.twimg.com/media/GWZM40sbkAAyqDI?format=jpg&name=small,"𝗗 𝗠𝗮𝗿𝘁, 𝗗𝗶𝗹𝘀𝘂𝗸𝗵𝗻𝗮𝗴𝗮𝗿
31.08.2024

* FSSAI license true copy was displayed at the premises.

* Spices bags in store room were found stored directly on floor and no gap maintained between the bags and wall.


@fssaiindia
 

@MoHFW_Telangana"
China Bistro,Jubilee Hills,31-05-2024,,"Expired food articles like Potato Flakes, Scamorza Cheese, Rice Flour, White Vinegar, Pasta were discarded on the spot | The semi-prepared food articles stored inside the refrigerator were found with labels beyond Use by dates. Hence discarded on the spot | Mayonnaise Sweet Sauce, Premium Dry Fruits Nutmeg, Dry Dates, Makhana, Cloves, Pancake Syrup were found without following FSSAI labelling regulations and hence seized | Dustbins were found open without proper lids | Medical Fitness Certificates for Food Handlers and Pest Control Records for the premises not available with the FBO | The FSSAI License true c loopy was not displayed at the premises",,,,,Non-compliance,No,@c_tgsafe,https://x.com/c_tgsafe/status/1796810749815423380,2024-06-01,https://pbs.twimg.com/media/GO-N1A0XUAAzO8u?format=jpg&name=900x900 | https://pbs.twimg.com/ext_tw_video_thumb/1796810718248931328/pu/img/uW7p2aYJMQ6sYW3S.jpg | https://pbs.twimg.com/media/GO-N1DNWEAAfDZq?format=jpg&name=small | https://pbs.twimg.com/media/GO-N1DUXUAA0Xxi?format=jpg&name=900x900,"Task force team has conducted inspections in Jubilee Hills area on 31.05.2024. 

𝗖𝗵𝗶𝗻𝗮 𝗕𝗶𝘀𝘁𝗿𝗼

* Expired food articles like Potato Flakes, Scamorza Cheese, Rice Flour, White Vinegar, Pasta were discarded on the spot.

* The semi-prepared food articles stored inside the refrigerator were found with labels beyond Use by dates. Hence discarded on the spot.

* Mayonnaise Sweet Sauce, Premium Dry Fruits Nutmeg, Dry Dates, Makhana, Cloves, Pancake Syrup  were found without following FSSAI labelling regulations and hence seized. 

* Dustbins were found open without proper lids.

* Medical Fitness Certificates for Food Handlers and Pest Control Records for the premises not available with the FBO.

* The FSSAI License true c loopy was not displayed at the premises.


@fssaiindia
 

@MoHFW_Telangana"
Ulavacharu,Kompally,30-12-2024,,"FSSAI license not displayed at the premises | Water analysis reports, Pest Control records, Fostac certificates and Health Records of employees were not provided | Expired Crushes (3 packs) and Kova (1 pack) & Misbranded and expired food articles (139 Goli Soda bottles) worth Rs. 14,936 were found and seized | Vegetables like tomatoes were found in rotten condition | Synthetic food colors were found and discarded on suspicion of use in prepared food articles | Walls and ceiling were found to be flaky with shredding of particles | Flooring was found to be patchy, slippery with littering of food waste | Raw meat like chicken, mutton etc were found to be dumped in the refrigerator in unhygienic manner, which may cause contamination | Refrigerators were not maintained in hygienic condition. Drains were found to be clogged and not equipped with insect traps | Paint Brush is used to apply butter | Grinding area and Washing area were found to be very unhygienic. Exhaust was found to be greasy and untidy",,,,,Non-compliance,No,@c_tgsafe,https://x.com/c_tgsafe/status/1874063071813263699,2024-12-31,https://pbs.twimg.com/media/GgICbJ9bYAAaz0p?format=jpg&name=small | https://pbs.twimg.com/media/GgICbNWasAArWiA?format=jpg&name=small | https://pbs.twimg.com/media/GgICbPNbsAAQSZa?format=jpg&name=small | https://pbs.twimg.com/media/GgICbn4bYAUM1aY?format=jpg&name=small,"𝗨𝗹𝗮𝘃𝗮𝗰𝗵𝗮𝗿𝘂, 𝗞𝗼𝗺𝗽𝗮𝗹𝗹𝘆
30.12.2024

* FSSAI license not displayed at the premises. 

* Water analysis reports, Pest Control records, Fostac certificates and Health Records of employees were not provided.

* Expired Crushes (3 packs) and Kova (1 pack) & Misbranded and expired food articles (139 Goli Soda bottles) worth Rs. 14,936 were found and seized.

* Vegetables like tomatoes were found in rotten condition.

* Synthetic food colors were found and discarded on suspicion of use in prepared food articles.

* Walls and ceiling were found to be flaky with shredding of particles.

* Flooring was found to be patchy, slippery with littering of food waste.

* Raw meat like chicken, mutton etc were found to be dumped in the refrigerator in unhygienic manner, which may cause contamination. 

* Refrigerators were not maintained in hygienic condition. Drains were found to be clogged and not equipped with insect traps.

* Paint Brush is used to apply butter.
 
* Grinding area and Washing area were found to be very unhygienic. Exhaust was found to be greasy and untidy.


@fssaiindia


@MoHFW_Telangana"
Train Theme Restaurant,Kompally,30-12-2024,,"Flooring was found to be patchy, slippery with littering of food waste at several places | Drains were found to be clogged with food waste and stagnant water | Refrigerators are not maintained in hygienic manner. Food articles in the fridge were not covered and labelled | Veg and non-veg food articles are stored together | Few food articles were found to be stored on floor in the storage area | Food and non-food articles were also stored together | The aprons of the food handlers were found to be untidy",,,,,Non-compliance,No,@c_tgsafe,https://x.com/c_tgsafe/status/1874062951172505836,2024-12-31,https://pbs.twimg.com/media/GgICUOmbYAAsQoF?format=jpg&name=small | https://pbs.twimg.com/media/GgICUSpbYAIh1Jq?format=jpg&name=small | https://pbs.twimg.com/media/GgICUlYbYAUjXzz?format=jpg&name=small | https://pbs.twimg.com/media/GgICUVQbYAMRQ9J?format=jpg&name=small,"𝗧𝗿𝗮𝗶𝗻 𝗧𝗵𝗲𝗺𝗲 𝗥𝗲𝘀𝘁𝗮𝘂𝗿𝗮𝗻𝘁, 𝗞𝗼𝗺𝗽𝗮𝗹𝗹𝘆
30.12.2024

* Flooring was found to be patchy, slippery with littering of food waste at several places.

* Drains were found to be clogged with food waste and stagnant water.

* Refrigerators are not maintained in hygienic manner. Food articles in the fridge were not covered and labelled.

* Veg and non-veg food articles are stored together.

* Few food articles were found to be stored on floor in the storage area.

* Food and non-food articles were also stored together.

* The aprons of the food handlers were found to be untidy.


@fssaiindia
 

@MoHFW_Telangana"
Malnadu Kitchen,Kompally,30-12-2024,,"FSSAI license not displayed at the premises | Water analysis reports, Pest Control records, Fostac certificates and Health Records of employees were not provided | Raw meet like chicken, mutton etc were found to be dumped in the refrigerator in unhygienic manner which can cause contamination | Prepared food articles like Mutton Curry & Fried Chicken Wings were stored in the cold room without proper labelling, which were discarded | Synthetic food colors were found and discarded on suspicion of use in prepared food articles | Rodent excreta was found in several places in the storage | Refrigerators were not maintained in hygienic condition | Flooring was found to be patchy and littering of food waste at some places | Walls were found to be oily and tiles were found to be broken at some places | Dust bins were found in open condition | Paint brush found being used to apply butter | Raw and semi-cooked food, veg and non-veg food articles were found stored together",,,,,Non-compliance,No,@c_tgsafe,https://x.com/c_tgsafe/status/1874062827679555921,2024-12-31,https://pbs.twimg.com/media/GgICNWVakAA7rT3?format=jpg&name=small | https://pbs.twimg.com/media/GgICNX6bYAUlBnt?format=jpg&name=small | https://pbs.twimg.com/media/GgICNYRbMAEfSqX?format=jpg&name=small | https://pbs.twimg.com/media/GgICNaKbMAAPTPu?format=jpg&name=900x900,"Task force team has conducted inspections in Kompally area on 30.12.2024.

𝗠𝗮𝗹𝗻𝗮𝗱𝘂 𝗞𝗶𝘁𝗰𝗵𝗲𝗻, 𝗞𝗼𝗺𝗽𝗮𝗹𝗹𝘆

* FSSAI license not displayed at the premises. 

*Water analysis reports, Pest Control records, Fostac certificates and Health Records of employees were not provided.

* Raw meet like chicken, mutton etc were found to be dumped in the refrigerator in unhygienic manner which can cause contamination.

* Prepared food articles like Mutton Curry & Fried Chicken Wings were stored in the cold room without proper labelling, which were discarded.

* Synthetic food colors were found and discarded on suspicion of use in prepared food articles.

* Rodent excreta was found in several places in the storage.

* Refrigerators were not maintained in hygienic condition.

* Flooring was found to be patchy and littering of food waste at some places.

* Walls were found to be oily and tiles were found to be broken at some places.

* Dust bins were found in open condition.

* Paint brush found being used to apply butter.

* Raw and semi-cooked food, veg and non-veg food articles were found stored together.


@fssaiindia


@MoHFW_Telangana"
M/s All Rich Dairy Pvt Ltd (Swetha Diary),"Pasumamula(V), Abdullapurmet(M)",30-12-2024,,"FSSAI License is not displayed at a prominent location and few categories of milk products are not included in the license | No proper hygiene and sanitation within the dairy processing unit | Rusted machinery found being used. Rusted walls and roof identified in the cold storage chambers and rust seepage is observed where final products of milk and curd are stored | Harmful chemicals such as TGV 999 caustic soda (850kg) found at the location and suspected to be used for adulteration | No proper storage of raw materials is done. Scrap material found being stored along with final products | Multiple label defects identified on the final products including cross-branding and non-declaration of additives like artificial flavors | Chemicals and disinfectants found stored in close vicinity of final milk products such as Paneer and Flavoured milks in the same refrigerator | Ghee (280kg) seized on suspicion of undeclared additives | No water analysis reports and medical test reports of food handlers | Non-FSSAI lactic acid cultures found being used in curd making | No internal and external audit records available. No documentation such as Quality control records, Waste management, Sanitation and maintenance, Complaint and recall records, etc are being maintained",,,,,Non-compliance,No,@c_tgsafe,https://x.com/c_tgsafe/status/1873790689517199763,2024-12-30,https://pbs.twimg.com/media/GgEKsyNbYAE6PH6?format=jpg&name=small | https://pbs.twimg.com/media/GgEKs2FbYAA4uFY?format=jpg&name=small | https://pbs.twimg.com/media/GgEKs0kbYAUJWGD?format=jpg&name=medium | https://pbs.twimg.com/media/GgEKs2hbYAIt7g1?format=jpg&name=small,"State level task force team has conducted inspections in Rangareddy district on 30.12.2024.

𝗠/𝘀 𝗔𝗹𝗹 𝗥𝗶𝗰𝗵 𝗗𝗮𝗶𝗿𝘆 𝗣𝘃𝘁 𝗟𝘁𝗱 (𝗦𝘄𝗲𝘁𝗵𝗮 𝗗𝗶𝗮𝗿𝘆), 𝗣𝗮𝘀𝘂𝗺𝗮𝗺𝘂𝗹𝗮(𝗩), 𝗔𝗯𝗱𝘂𝗹𝗹𝗮𝗽𝘂𝗿𝗺𝗲𝘁(𝗠)

* FSSAI License is not displayed at a prominent location and few categories of milk products are not included in the license. 

* No proper hygiene and sanitation within the dairy processing unit. 

* Rusted machinery found being used. Rusted walls and roof identified in the cold storage chambers and rust seepage is observed where final products of milk and curd are stored.

* Harmful chemicals such as TGV 999 caustic soda (850kg) found at the location and suspected to be used for adulteration. 

* No proper storage of raw materials is done. Scrap material found being stored along with final products.

* Multiple label defects identified on the final products including cross-branding and non-declaration of additives like artificial flavors.

* Chemicals and disinfectants found stored in close vicinity of final milk products such as Paneer and Flavoured milks in the same refrigerator.

* Ghee (280kg) seized on suspicion of undeclared additives. 

* No water analysis reports and medical test reports of food handlers.

* Non-FSSAI lactic acid cultures found being used in curd making.

* No internal and external audit records available. No documentation such as Quality control records, Waste management, Sanitation and maintenance, Complaint and recall records, etc are being maintained.

𝗜𝗻 𝘃𝗶𝗲𝘄 𝗼𝗳 𝘁𝗵𝗲 𝗻𝗮𝘁𝘂𝗿𝗲 𝗼𝗳 𝘃𝗶𝗼𝗹𝗮𝘁𝗶𝗼𝗻𝘀 𝗶𝗱𝗲𝗻𝘁𝗶𝗳𝗶𝗲𝗱 𝗮𝘁 𝘁𝗵𝗲 𝗽𝗿𝗲𝗺𝗶𝘀𝗲𝘀, 𝘁𝗵𝗲 𝗹𝗶𝗰𝗲𝗻𝘀𝗲 𝗼𝗳 𝘁𝗵𝗲 𝗲𝘀𝘁𝗮𝗯𝗹𝗶𝘀𝗵𝗺𝗲𝗻𝘁 𝗶𝘀 𝗵𝗲𝗿𝗲𝗯𝘆 𝗯𝗲𝗶𝗻𝗴 𝘀𝘂𝘀𝗽𝗲𝗻𝗱𝗲𝗱.


@fssaiindia
 

@MoHFW_Telangana"
Kodikura Chittigare,Miyapur,30-09-2024,FSSAI license copy displayed at prominent place,⁠Pest control records not maintained | ⁠Water analysis reports found to be obtained from non-NABL Laboratory | ⁠Windows and doors inside kitchen premises not close fitted with insect proof screens | House flies observed as backdoor open to outside environment,,,,,Non-compliance,No,@c_tgsafe,https://x.com/c_tgsafe/status/1841343764876444117,2024-10-02,https://pbs.twimg.com/media/GY3EY71asAAEuwi?format=jpg&name=900x900 | https://pbs.twimg.com/media/GY3EY8AaEAA5Qav?format=jpg&name=900x900 | https://pbs.twimg.com/media/GY3EY-Ya0AA6YmI?format=jpg&name=small | https://pbs.twimg.com/media/GY3EY74a8AAVC9J?format=jpg&name=small,"Task force team has conducted inspections in Miyapur area on 30.09.2024.

𝗞𝗼𝗱𝗶𝗸𝘂𝗿𝗮 𝗖𝗵𝗶𝘁𝘁𝗶𝗴𝗮𝗿𝗲, 𝗠𝗶𝘆𝗮𝗽𝘂𝗿

* FSSAI license copy displayed at prominent place.

* ⁠Pest control records not maintained.

* ⁠Water analysis reports found to be obtained from non-NABL Laboratory.

* ⁠Windows and doors inside kitchen premises not close fitted with insect proof screens.

* House flies observed as backdoor open to outside environment.


@fssaiindia


@MoHFW_Telangana"
Athidhi Restaurant,Miyapur,30-09-2024,FSSAI license copy displayed at prominent place,Kitchen premises found open to the outside environment without any insect proof screens | Tiles inside kitchen walls and floor found to be broken and found in unhygienic condition | Some of the food articles stored inside refrigerator were found not covered and not labelled | ⁠FBO found to be using Rose water (Cosmetic) in foods like lassi etc | Refrigerator walls found to be rusted from inside and raw chicken stored directly without any vessel and covering | ⁠Dust bins found open in the kitchen | Live cockroach infestation observed inside kitchen premises | ⁠Medical fitness certificates and Water analysis reports were not found | Noodles (3 pkts) found without any label. Hence discarded,,,,,Non-compliance,No,@c_tgsafe,https://x.com/c_tgsafe/status/1841344090803175522,2024-10-02,https://pbs.twimg.com/media/GY3Ep8ra0AACW1c?format=jpg&name=900x900 | https://pbs.twimg.com/media/GY3Ep_NaMAAWdez?format=jpg&name=small | https://pbs.twimg.com/media/GY3EqF4bcAAyk_b?format=jpg&name=small | https://pbs.twimg.com/ext_tw_video_thumb/1841344063389442048/pu/img/4ZGVJymeT7XQeDI0.jpg,"𝗔𝘁𝗵𝗶𝗱𝗵𝗶 𝗥𝗲𝘀𝘁𝗮𝘂𝗿𝗮𝗻𝘁, 𝗠𝗶𝘆𝗮𝗽𝘂𝗿
30.09.2024

* FSSAI license copy displayed at prominent place.

* Kitchen premises found open to the outside environment without any insect proof screens.

* Tiles inside kitchen walls and floor found to be broken and found in unhygienic condition.

* Some of the food articles stored inside refrigerator were found not covered and not labelled.

* ⁠FBO found to be using Rose water (Cosmetic) in foods like lassi etc.

* Refrigerator walls found to be rusted from inside and raw chicken stored directly without any vessel and covering.

* ⁠Dust bins found open in the kitchen.

* Live cockroach infestation observed inside kitchen premises.

* ⁠Medical fitness certificates and Water analysis reports were not found.

* Noodles (3 pkts) found without any label. Hence discarded.


@fssaiindia
 

@MoHFW_Telangana"
